Pr_Kennung,Thema,LM,Vorbereitung_Meth,RT_IS_Pr,RI_IS_Pr,IS_Area_Peak,IS_Area_BasePeak,V_Extraktion_mL,Verdg_im_Vial,IS_Volumen_ml,InjektionsVolumen_ml,
82102231,Tesla,DCM,gesch,15.0077,1381,8128245,3227316,100,5,0.05,0.001,
BW_2021_06_06_3,,DCM,gesch,15.0067,1381,7809972,3104802,500,1,0.05,0.001,
BW_2021_06_15,,ETAC,SPE,15.0072,1381,3918312,1520429,1000,1,0.05,0.001,
12104484,Tesla,ETAC,SPE,15.0071,1381,5146332,1815043,500,1,0.05,0.001,
42105162,Tesla,ETAC,SPE,15.0074,1381,5119983,1836515,500,1,0.05,0.001,
42105164,Tesla,ETAC,SPE,15.0082,1382,4484338,1565157,500,1,0.05,0.001,
62101589,Tesla,ETAC,SPE,15.0078,1381,5854850,2044001,500,1,0.05,0.001,
BW_2021_06_23,,ETAC,SPE,15.0047,1381,5201197,1893553,1000,1,0.05,0.001,
72101388,Tesla,ETAC,SPE,15.0051,1381,3539984,1416426,500,1,0.05,0.001,
BW_2021_07_13,,ETAC,SPE,15.0033,1381,2017844,803682,1000,1,0.05,0.001,
12105244,Tesla,ETAC,SPE,15.0045,1381,2619805,1035553,500,1,0.05,0.001,
12105269,Tesla,ETAC,SPE,15.0023,1381,4485762,1798599,500,1,0.05,0.001,
42106086,Tesla,ETAC,SPE,15.0024,1381,3246507,1212668,500,1,0.05,0.001,
42106087,Tesla,ETAC,SPE,15.0046,1381,4631926,1769337,500,1,0.05,0.001,
62101901,Tesla,ETAC,SPE,15.0030,1381,3844937,1470868,500,1,0.05,0.001,
72101595,Tesla,ETAC,SPE,15.0054,1382,3148847,1202748,500,1,0.05,0.001,
BW_2021_08_09,,ETAC,SPE,15.0052,1382,3262916,1254125,1000,1,0.05,0.001,
12106378,Tesla,ETAC,SPE,15.0043,1382,4180164,1522262,500,1,0.05,0.001,
12106392,Tesla,ETAC,SPE,15.0043,1382,3937439,1590290,500,1,0.05,0.001,
42107372,Tesla,ETAC,SPE,15.0028,1382,3641862,1376954,500,1,0.05,0.001,
42107374,Tesla,ETAC,SPE,15.0032,1382,4077561,1608339,500,1,0.05,0.001,
BW_2021_08_16,,ETAC,SPE,15.0055,1382,2488492,978752,1000,1,0.05,0.001,
62102470,Tesla,ETAC,SPE,15.0019,1381,3069385,1194397,500,1,0.05,0.001,
72102029,Tesla,ETAC,SPE,15.0018,1381,3677232,1428558,500,1,0.05,0.001,
BW_2021_09_16,,ETAC,SPE,15.0001,1382,2263410,889246,1000,1,0.05,0.001,
12107184,Tesla,ETAC,SPE,14.9978,1382,3563940,1308009,500,1,0.05,0.001,
12107185,Tesla,ETAC,SPE,14.9973,1382,3727779,1326817,500,1,0.05,0.001,
42108410,Tesla,ETAC,SPE,14.9973,1382,3485031,1245151,500,1,0.05,0.001,
42108412,Tesla,ETAC,SPE,14.9993,1382,2811261,988397,500,1,0.05,0.001,
62102735,Tesla,ETAC,SPE,14.9969,1382,3404315,1344481,500,1,0.05,0.001,
72102278,Tesla,ETAC,SPE,14.9959,1382,3326568,1178186,500,1,0.05,0.001,
BW_2021_11_04,,ETAC,SPE,14.9444,1382,4176576,1635344,1000,1,0.05,0.001,
12108253,Tesla,ETAC,SPE,14.9333,1381,4628982,1542388,500,1,0.05,0.001,
12108254,Tesla,ETAC,SPE,14.9302,1381,5071822,1818591,500,1,0.05,0.001,
42109263,Tesla,ETAC,SPE,14.9319,1381,4056535,1530954,500,1,0.05,0.001,
42109264,Tesla,ETAC,SPE,14.9351,1381,4456162,1465294,500,1,0.05,0.001,
62103211,Tesla,ETAC,SPE,14.9338,1381,4055413,1368774,500,1,0.05,0.001,
72102609,Tesla,ETAC,SPE,14.9302,1381,4397221,1421672,500,1,0.05,0.001,
BW_2021_11_24,,ETAC,SPE,14.9575,1383,2594512,1043037,1000,1,0.05,0.001,
12109741,Tesla,ETAC,SPE,14.9242,1381,4156635,1340075,500,1,0.05,0.001,
12109812,Tesla,ETAC,SPE,14.9250,1381,4526666,1484416,500,1,0.05,0.001,
62103501,Tesla,ETAC,SPE,14.9304,1381,3377240,1197526,500,1,0.05,0.001,
72102861,Tesla,ETAC,SPE,14.9237,1381,4016535,1336490,500,1,0.05,0.001,
BW_2021_12_01,,ETAC,SPE,14.9670,1381,4050571,1539784,1000,1,0.05,0.001,
42110805,Tesla,ETAC,SPE,14.9648,1381,4878524,1813474,500,1,0.05,0.001,
42110806,Tesla,ETAC,SPE,14.9648,1381,4879703,1817640,500,1,0.05,0.001,
BW_2021_12_15,,ETAC,SPE,14.9610,1381,1962879,747559,1000,1,0.05,0.001,
12110788,Tesla,ETAC,SPE,14.9573,1381,3150132,1123327,500,1,0.05,0.001,
12110791,Tesla,ETAC,SPE,14.9579,1381,3352166,1254302,500,1,0.05,0.001,
62103752,Tesla,ETAC,SPE,14.9574,1381,3411398,1266643,500,1,0.05,0.001,
72103119,Tesla,ETAC,SPE,14.9584,1381,3710222,1221413,500,1,0.05,0.001,
BW_2022_01_18,Tesla,ETAC,SPE,14.9503,1381,3496964,1366988,1000,1,0.05,0.001,
62200123,Tesla,ETAC,SPE,14.9495,1381,3961723,1547720,500,1,0.05,0.001,
72200169,Tesla,ETAC,SPE,14.9484,1381,4911668,1671451,500,1,0.05,0.001,
BW_2022_02_07_w1,,DCM,SPE,14.8755,1381,7382205,2985306,1000,1,0.05,0.001,
42008477_w,Tesla,DCM,SPE,14.8756,1381,5183910,1937638,1000,1,0.05,0.001,
42008478_w,Tesla,DCM,SPE,14.8750,1381,4431733,1606991,1000,1,0.05,0.001,
12011647_w,Tesla,DCM,SPE,14.8743,1381,6931135,2477204,1000,1,0.05,0.001,
