InChiKey_GC_Name,ID_UALib,Name1_UALib,Name2_UALib,CAS_UALib,Formel_UALib,BPMZ_UALib,RT_UALib,RI_UALib,MW_UALib,Bem_UALib,MF_UALib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDMGLOPCYDADNB-UHFFFAOYSA-N   ,65,,"Carbonic acid, phenyl tetradecyl ester",1000314-57-8,C21H34O3,94,26.8101,2428,334.250795,KW mit Phenylester,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNCADMBVWNPPIZ-UHFFFAOYSA-N,67,"N~2~,N~2~,N~4~,N~4~,N~6~,N~6~-Hexakis(methoxymethyl)-1,3,5-triazine-2,4,6-triamine",Hexa(methoxymethyl)melamine,3089-11-0,C15H30N6O6,207,26.899,2499,390.222683,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2501,68,,GC_BPMZ_94_RI_2501,,,94,26.9466,2501,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2521,69,,GC_BPMZ_94_RI_2521,,,94,27.1137,2521,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIQMHBFVRAXMOP-UHFFFAOYSA-N,70,Oxo(triphenyl)-lambda~5~-phosphane,Triphenylphosphine oxide,791-28-6,C18H15OP,277,27.4078,2561,278.0860521,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZDMORWSPXCSTKG-UHFFFAOYSA-N   ,71,,"Carbonic acid, pentadecyl phenyl ester",1000314-57-9,C22H36O3,94,27.4484,2528,348.266445,KW mit Phenylester,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2584,72,,GC_BPMZ_94_RI_2584,,,94,27.631,2584,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2590,73,,GC_BPMZ_94_RI_2590,,,94,27.6857,2590,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2603,74,,GC_BPMZ_94_RI_2603,,,94,27.7879,2603,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2610,75,,GC_BPMZ_94_RI_2610,,,94,27.8448,2610,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWQABBMFNPYHEF-UHFFFAOYSA-N   ,76,,"Carbonic acid, hexadecyl phenyl ester",1000314-58-0,C23H38O3,94,27.9559,2627,362.282095,KW mit Phenylester,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2665,77,,GC_BPMZ_94_RI_2665,,,94,28.2882,2665,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2685,78,,GC_BPMZ_94_RI_2685,,,94,28.4542,2685,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2713,79,,GC_BPMZ_94_RI_2713,,,94,28.6746,2713,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2725,80,,GC_BPMZ_94_RI_2725,,,94,28.769,2725,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_94_RI_2767,81,,GC_BPMZ_94_RI_2767,,,94,29.099,2767,,KW mit Phenylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYUBDLPFZYBCKS-UHFFFAOYSA-N   ,82,,"Carbonic acid, octadecyl phenyl ester",1000314-58-1,C25H42O3,94,29.2691,2826,390.313395,KW mit Phenylester,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLQNHALFVCURHW-UHFFFAOYSA-N,86,Octathiocane,Octasulfur,10544-50-0,S8,160,23.0262,2049,255.7765694,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPBRXRYQALVLMV-UHFFFAOYSA-N,87,Ethenylbenzene,Styrene,100-42-5,C8H8,104,5.9288,893,104.0626003,Kunststoffindustrie,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISYYRBXTVTFY-UHFFFAOYSA-N,89,Propan-2-yl tetradecanoate,Isopropyl tetradecanoate,110-27-0,C17H34O2,228,20.5443,1827,270.2558803,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXCMMPRRBSCRG-UHFFFAOYSA-N,91,Hexathiane,Hexasulfur,13798-23-7,S6,192,16.7407,1500,191.832427,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWOLFJPFCHCOCG-UHFFFAOYSA-N,93,(1-Propylnonyl)benzene,Acetophenone,98-86-2,C8H8O,140,9.8102,1066,120.0575149,std,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCMLQMDWSXFTIF-UHFFFAOYSA-N,94,2-Methylbenzene-1-sulfonamide,o-Toluenesulfonamide,88-19-7,C7H9NO2S,90,18.3556,1557,171.0353997,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOJUPLGTWVMSFF-UHFFFAOYSA-N,97,"1,3-Benzothiazole",Benzothiazole,95-16-9,C7H5NS,135,12.6384,1229,135.0142703,"Grundstoff für Vulkanisation, Farbstoffe, Pharmaindustrie",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISXOGOLHEGHGQF-UHFFFAOYSA-N,98,Octadecamethylcyclononasiloxane,Octadecamethylcyclononasiloxane,556-71-8,C18H54O9Si9,73,20.5764,1860,666.1691221,Säule,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YQEZLKZALYSWHR-UHFFFAOYSA-N,100,2-(2-Chlorophenyl)-2-(methylamino)cyclohexan-1-one,Ketamine,6740-88-1,C13H16ClNO,180,21.2331,1977,237.0920418,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IROINLKCQGIITA-UHFFFAOYSA-N,101,"N~2~-tert-Butyl-N~4~-ethyl-6-(methylsulfanyl)-1,3,5-triazine-2,4-diamine",Terbutryn,886-50-0,C10H19N5S,185,21.9306,1962,241.1361168,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOWZNBNDMFLQGM-UHFFFAOYSA-N,102,"2,5-Dimethylaniline","2,5-Dimethylaniline",95-78-3,C8H11N,121,11.6404,1171,121.0891494,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YZEFQPIMXZVPKP-UHFFFAOYSA-N,103,"5-Methyl-6,7-dihydro-5H-cyclopenta[b]pyrazine","6,7-Dihydro-5-methyl-5H-cyclopentapyrazine",23747-48-0,C8H10N2,119,11.1579,1149,134.0843983,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDCFWIDZNLCTMF-UHFFFAOYSA-N,104,2-Phenylpropan-2-ol,2-Phenylpropan-2-ol,617-94-7,C9H12O,121,10.1241,1098,136.088815,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXZOXVVKILCOPG-UHFFFAOYSA-N,107,"Bis(2-ethylhexyl) benzene-1,3-dicarboxylate",Bis(2-ethylhexyl) isophthalate,137-89-3,C24H38O4,149,28.95,2707,390.2770097,Weichmacher/ Phthalat,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,110,Phenol,Phenol,108-95-2,C6H6O,94,7.9765,989,94.04186481,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDNGDDOTBYZAGS-UHFFFAOYSA-N,113,"4,5-Dimethylnonane","4,5-Dimethylnonane",17302-23-7,C11H24,71,9.5481,1046,156.1878008,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNQQNTZDFYVGH-UHFFFAOYSA-N,114,"1,1,1,3,3-Pentamethyl-3-phenyldisiloxane",Pentamethylphenyldisiloxane,14920-92-4,C11H20OSi2,209,7.44,1087,224.1052683,Säule,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTKTZVXSSKVBTH-UHFFFAOYSA-N  ,115,"1,2,3,4,5-Pentamethyl-1-cyclopentene","Cyclopentene, 1,2,3,4,5-pentamethyl-",1000154-28-6,C10H18,123,6.1965,944,138.140851,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFVSFLUJRHRSJG-UHFFFAOYSA-N,116,Hexadecamethylheptasiloxane,Hexadecamethylheptasiloxane,541-01-5,C16H48O6Si7,147,26.3225,1553,532.183575,Säule,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCICIFOYVSPMHG-UHFFFAOYSA-N,117,"1-(2,6-Dichlorophenyl)-1,3-dihydro-2H-indol-2-one","1-(2,6-Dichlorophenyl)-2-indolinone",15362-40-0,C14H9Cl2NO,214,24.2561,2301,277.0061193,Diclofenac artifact,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_147_RI_2285,118,,GC_BPMZ_147_RI_2285,,,147,25.0688,2285,,"Säule, ähnlich: Cyclononasiloxane, octadecamethyl-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGPWRRVOLLMHSC-UHFFFAOYSA-N,119,"2,2'-(1,3-Phenylene)di(propan-2-ol)","1,3-Benzenedimethanol, .alpha.1,.alpha.1,.alpha.3,.alpha.3-tetramethyl-",1999-85-5,C12H18O2,179,16.2052,1488,194.1306798,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_123_RI_908,120,,GC_BPMZ_123_RI_908,,,123,5.6437,908,,"ähnlich: Cyclopentene, 1,2,3,4,5-pentamethyl-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVFKHLJPJLSEX-UHFFFAOYSA-N  ,125,"6-Methyl-1,2,3,5,8,8a-hexahydronaphthalene","Naphthalene, 1,4,4a,5,6,7-hexahydro-2-methyl-",107914-86-3,C11H16,148,13.8362,1184,148.1252,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZVQXQPNJHRNGID-UHFFFAOYSA-N,127,Tetramethylbutanedinitrile,Tetramethylsuccinonitrile,3333-52-6,C8H12N2,69,8.9363,1138,136.1000484,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLTWBMHADAJAAZ-UHFFFAOYSA-N,128,2-tert-Butylcyclohexan-1-ol,2-tert-Butylcyclohexanol,13491-79-7,C10H20O,82,11.7238,1182,156.1514153,Kunststoffadditiv,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_149_RI_2826,130,,GC_BPMZ_149_RI_2826,,,149,29.5583,2826,,Weichmacher/ Phthalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBGGXOJOCNVPFY-UHFFFAOYSA-N,131,"Bis(7-methyloctyl) benzene-1,2-dicarboxylate",Bis(7-methyloctyl) phthalate,20548-62-3,C26H42O4,149,29.7395,2902,418.3083098,Weichmacher/ Phthalat,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JQHJESVUFUNCLT-UHFFFAOYSA-N  ,132,,"Phthalic acid, 6-methylhept-2-yl nonyl ester",1000377-96-3,C25H40O4,149,29.3655,2803,404.29266,Weichmacher/ Phthalat,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAKHJGJRTDJEJD-UHFFFAOYSA-N   ,133,,"Phthalic acid, hept-2-yl nonyl ester",1000356-97-6,C24H38O4,149,29.1456,2768,390.27701,Weichmacher/ Phthalat,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROMNWUQASBTFM-UHFFFAOYSA-N,134,"Dinonyl benzene-1,2-dicarboxylate",Dinonyl phthalate,84-76-4,C26H42O4,149,29.9365,2880,418.3083098,PHTH std,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWWWFTBWCKTBQI-UHFFFAOYSA-N,135,1-[4-(2-Hydroxypropan-2-yl)phenyl]ethan-1-one,1-[4-(1-Hydroxy-1-methylethyl)phenyl]ethanone,54549-72-3,C11H14O2,163,16.3909,1432,178.0993797,Weichmacher/ Phthalat,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOGKSNZFDBFKCV-UHFFFAOYSA-N,137,Tetracosamethylcyclododecasiloxane,Tetracosamethylcyclododecasiloxane,18919-94-3,C24H72O12Si12,147,23.7104,2338,888.2254962,Säule,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKBBQSLSGRSQAJ-UHFFFAOYSA-N,138,"1,1'-(1,4-Phenylene)di(ethan-1-one)","1,4-Diacetylbenzene",1009-61-6,C10H10O2,147,15.8094,1470,162.0680796,,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUMSDRXLFWAGNT-UHFFFAOYSA-N,139,Dodecamethylcyclohexasiloxane,Dodecamethylcyclohexasiloxane,540-97-6,C12H36O6Si6,73,14.2315,1335,444.1127481,Säule,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSUIVCLOAAJSRE-UHFFFAOYSA-N,140,"Bis(2-methoxyethyl) benzene-1,2-dicarboxylate",Di(2-methoxyethyl) phthalate,117-82-8,C14H18O6,149,22.0699,1965,282.1103383,Weichmacher/ Phthalat,84.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEGYLXZBRQIMU-UHFFFAOYSA-N,142,"1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane","1,8-Cineol",470-82-6,C10H18O,83,8.9561,1032,154.1357652,Geruchsstoff,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNJSKZBEWNVKGU-UHFFFAOYSA-N,144,"(2,2-Dimethoxyethyl)benzene",Phenylacetaldehyde dimethyl acetal,101-48-4,C10H14O2,75,12.5585,1221,166.0993797,"Viridine,",80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPJRYQGOKHKNKZ-UHFFFAOYSA-N,146,1-Ethyl-1-methylcyclohexane,"Cyclohexane, 1-ethyl-1-methyl-",4926-90-3,C9H18,55,6.6955,953,126.1408505,,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNXZHVUCNYMNOS-UHFFFAOYSA-N,147,1-Butylpyrrolidin-2-one,"2-Pyrrolidinone, 1-butyl-",3470-98-2,C8H15NO,98,13.6997,1300,141.1153641,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWTPSNLJCUREIA-UHFFFAOYSA-N   ,148,"1,3-Diacetyl-2,4,5-imidazolidinetrione","Imidazolidine-2,4,5-trione, 1,3-diacetyl-",115083-04-0,C7H6N2O5,198,21.4243,1883,198.027671,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYCFMMQNMYYCKK-NTCAYCPXSA-N   ,149,"(3Z)-3-(2,2-Dimethyl-6-methylenecyclohexylidene)-1-methylbutyl acetate","Acetic acid, 3-(2,2-dimethyl-6-methylene-cyclohexylidene)-1-methyl-butyl ester",1000192-69-2,C16H26O2,175,19.9826,1682,250.19328,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUMBDPCWUXZFX-UHFFFAOYSA-N   ,150,,"Phthalic acid, di(6-methylhept-2-yl) ester",1000377-97-3,C24H38O4,149,27.4164,2575,390.27701,Weichmacher/ Phthalat,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECUKUPTGUEGMW-UHFFFAOYSA-N,152,2-Methyl-5-(propan-2-yl)phenol,Isopropyl-o-cresol,499-75-2,C10H14O,135,13.7466,1299,150.1044651,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPACFLNWGUDSR-UHFFFAOYSA-N,153,Methoxy(trimethyl)silane,"Silane, methoxytrimethyl-",1825-61-2,C4H12OSi,89,10.8352,506,104.0657415,Säule,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_205_RI_1946,157,,GC_BPMZ_205_RI_1946,,,205,21.8263,1946,,"ähnlich: 1,3-Dimethyl-5,7-dipropyladamantane  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_130_RI_1777,158,,GC_BPMZ_130_RI_1777,,,130,20.0258,1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_121_RI_1893,160,,GC_BPMZ_121_RI_1893,,,121,21.2793,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_149_RI_1998,161,,GC_BPMZ_149_RI_1998,,,149,22.3482,1998,,Weichmacher/ Phthalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_119_RI_1885,162,,GC_BPMZ_119_RI_1885,,,119,21.1923,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_257_RI_2206,163,,GC_BPMZ_257_RI_2206,,,257,24.3499,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_150_RI_1878,164,,GC_BPMZ_150_RI_1878,,,150,21.1178,1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_164_RI_1585,165,,GC_BPMZ_164_RI_1585,,,164,17.7864,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_116_RI_1524,166,,GC_BPMZ_116_RI_1524,,,116,17.0202,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_225_RI_2158,167,,GC_BPMZ_225_RI_2158,,,225,23.8985,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
